full_date,date,weekday,time,mood,activities,note
2020-01-09,9 January,Thursday,7:24 pm,Great,"Alone | Boyfriend | Yoga | Gaming | Programming | Shopping",""
2020-01-08,8 January,Wednesday,6:07 pm,Alright,"Alone | Programming | Reading",""
2020-01-07,7 January,Tuesday,6:00 pm,Happy,"Alone | Yoga | Programming | Reading",""
2020-01-06,6 January,Monday,6:00 pm,Happy,"Alone | Programming",""
2020-01-05,5 January,Sunday,8:10 pm,Happy,"Alone | Family | Programming | Movies",""
2020-01-04,4 January,Saturday,8:18 pm,Happy,"Alone | Boyfriend | Family | Gaming | Shopping",""
2020-01-03,3 January,Friday,6:00 pm,Great,"Alone | Programming | Cooking",""
2020-01-02,2 January,Thursday,7:08 pm,Great,"Alone | Friends | Yoga | Shopping | Reading",""
2020-01-01,1 January,Wednesday,6:00 pm,Great,"Boyfriend | Dog walk | Gaming",""
2019-12-31,31 December,Tuesday,7:21 pm,Happy,"Alone | Boyfriend | Gaming | Programming",""
2019-12-30,30 December,Monday,6:17 pm,Happy,"Alone | Boyfriend | Watching TV | Gaming | Dined Out",""
2019-12-29,29 December,Sunday,6:00 pm,Happy,"Alone | Gaming | Reading",""
2019-12-28,28 December,Saturday,7:43 pm,Great,"Alone | Boyfriend | Watching TV | Gaming",""
2019-12-27,27 December,Friday,9:39 pm,Happy,"Boyfriend | Watching TV | Shopping | Dined Out",""
2019-12-26,26 December,Thursday,6:00 pm,Alright,"Alone | Family | Dog walk | Gaming | Programming | Reading",""
2019-12-25,25 December,Wednesday,3:49 pm,Great,"Family",""
2019-12-24,24 December,Tuesday,9:00 pm,Alright,"Boyfriend | Special Outing","Carols"
2019-12-24,24 December,Tuesday,2:01 pm,Alright,"Family | Cleaning",""
2019-12-23,23 December,Monday,9:00 pm,Great,"Alone | Family | Nails or hair | Gaming | Shopping",""
2019-12-23,23 December,Monday,2:00 pm,Happy,"Family | Shopping",""
2019-12-22,22 December,Sunday,9:00 pm,Happy,"Alone | Dog walk | Watching TV",""
2019-12-22,22 December,Sunday,2:00 pm,Happy,"Boyfriend",""
2019-12-21,21 December,Saturday,9:00 pm,Happy,"Boyfriend | Shopping",""
2019-12-21,21 December,Saturday,2:00 pm,Great,"Alone | Nails or hair",""
2019-12-20,20 December,Friday,9:00 pm,Great,"Alone | Family | Watching TV | Reading",""
2019-12-20,20 December,Friday,2:00 pm,Happy,"Alone | Programming",""
2019-12-19,19 December,Thursday,9:18 pm,Happy,"Alone | Yoga | Cooking | Reading",""
2019-12-19,19 December,Thursday,2:00 pm,Happy,"Alone | Dog walk | Gaming",""
2019-12-18,18 December,Wednesday,7:50 pm,Happy,"Boyfriend | Dined Out",""
2019-12-17,17 December,Tuesday,9:00 pm,Happy,"Alone | Yoga | Watching TV",""
2019-12-16,16 December,Monday,9:00 pm,Happy,"Family | Dog walk | Reading",""
2019-12-16,16 December,Monday,2:00 pm,Happy,"Alone | Programming",""
2019-12-15,15 December,Sunday,9:00 pm,Happy,"Alone | Gaming",""
2019-12-15,15 December,Sunday,2:00 pm,Happy,"Boyfriend | Shopping",""
2019-12-14,14 December,Saturday,9:07 pm,Great,"Alone | Gaming",""
2019-12-14,14 December,Saturday,2:05 pm,Great,"Alone | Boyfriend | Watching TV | Shopping",""
2019-12-13,13 December,Friday,9:00 pm,Great,"Boyfriend | Special Outing","Harry Potter play"
2019-12-13,13 December,Friday,2:03 pm,Happy,"Alone | Gaming",""
2019-12-12,12 December,Thursday,9:00 pm,Happy,"Boyfriend | Special Outing","Harry Potter play"
2019-12-12,12 December,Thursday,2:10 pm,Happy,"Alone | Gaming | Programming",""
2019-12-11,11 December,Wednesday,10:22 pm,Happy,"Boyfriend | Family | Dined Out",""
2019-12-11,11 December,Wednesday,2:20 pm,Alright,"Alone | Programming",""
2019-12-10,10 December,Tuesday,9:00 pm,Alright,"Alone | Gaming",""
2019-12-10,10 December,Tuesday,2:32 pm,Alright,"Alone | Cooking",""
2019-12-09,9 December,Monday,9:00 pm,Alright,"Alone | Gaming",""
2019-12-09,9 December,Monday,2:00 pm,Alright,"Colleagues | Work | Dined Out",""
2019-12-08,8 December,Sunday,9:00 pm,Happy,"Boyfriend | Watching TV | Dined Out",""
2019-12-08,8 December,Sunday,2:28 pm,Happy,"Family | Nails or hair | Shopping",""
2019-12-07,7 December,Saturday,9:14 pm,Alright,"Family | Dined Out",""
2019-12-07,7 December,Saturday,2:00 pm,Happy,"Family | Shopping",""
2019-12-06,6 December,Friday,9:00 pm,Not happy,"Alone | Dog walk | Watching TV",""
2019-12-06,6 December,Friday,12:14 pm,Depressed,"Colleagues | Work",""
